date,revenue,ticket_count,avg_ticket,temp_max_c,temp_min_c,temp_max_f,temp_min_f,precipitation_mm,precip_inches,rain_mm,wind_max_kmh,weathercode,weather_desc,weather_cat,is_rainy,temp_band,day_of_week
2025-07-23,1468.42,35,41.95485714285714,29.5,24.7,85.1,76.46,3.7,0.1456692913385827,3.7,20.6,61,Slight rain,Rain,True,80-90F,Wednesday
2025-07-24,1198.96,54,22.202962962962964,30.5,25.0,86.9,77.0,2.7,0.10629921259842522,2.7,15.5,55,Dense drizzle,Drizzle,True,80-90F,Thursday
2025-07-25,1475.35,46,32.07282608695652,31.9,26.0,89.41999999999999,78.8,0.6,0.023622047244094488,0.6,16.8,51,Light drizzle,Drizzle,False,80-90F,Friday
2025-07-26,1573.88,66,23.846666666666668,34.7,25.8,94.46000000000001,78.44,0.4,0.015748031496062995,0.4,14.4,51,Light drizzle,Drizzle,False,90F+,Saturday
2025-07-30,1001.9300000000001,40,25.048250000000003,32.5,26.5,90.5,79.7,1.3,0.05118110236220473,1.3,12.0,53,Moderate drizzle,Drizzle,True,90F+,Wednesday
2025-07-31,1281.71,46,27.863260869565217,34.2,27.4,93.56,81.32,1.3,0.05118110236220473,1.3,20.5,53,Moderate drizzle,Drizzle,True,90F+,Thursday
2025-08-01,1407.58,42,33.51380952380952,34.5,25.9,94.1,78.62,15.9,0.6259842519685039,15.9,21.9,63,Moderate rain,Rain,True,90F+,Friday
2025-08-02,2042.93,89,22.954269662921348,28.9,24.0,84.02,75.2,7.5,0.29527559055118113,7.5,18.5,63,Moderate rain,Rain,True,80-90F,Saturday
2025-08-06,937.18,40,23.429499999999997,29.4,23.1,84.91999999999999,73.58,8.2,0.3228346456692913,8.2,13.6,63,Moderate rain,Rain,True,80-90F,Wednesday
2025-08-07,1990.51,50,39.8102,27.4,22.6,81.32,72.68,1.6,0.06299212598425198,1.6,15.5,51,Light drizzle,Drizzle,True,80-90F,Thursday
2025-08-08,1700.44,61,27.876065573770493,28.0,22.4,82.4,72.32,3.7,0.1456692913385827,3.7,17.8,61,Slight rain,Rain,True,80-90F,Friday
2025-08-09,2188.84,87,25.159080459770117,26.5,23.0,79.7,73.4,8.1,0.3188976377952756,8.1,25.8,61,Slight rain,Rain,True,70-80F,Saturday
2025-08-13,1482.96,58,25.568275862068965,29.5,26.4,85.1,79.52,3.9,0.15354330708661418,3.9,17.3,61,Slight rain,Rain,True,80-90F,Wednesday
2025-08-14,1232.16,48,25.67,30.3,26.2,86.53999999999999,79.16,4.7,0.18503937007874016,4.7,21.4,63,Moderate rain,Rain,True,80-90F,Thursday
2025-08-15,1373.16,53,25.90867924528302,30.7,25.2,87.26,77.36,3.6,0.14173228346456693,3.6,11.2,63,Moderate rain,Rain,True,80-90F,Friday
2025-08-16,2636.5299999999997,89,29.62393258426966,29.9,25.7,85.82,78.25999999999999,10.3,0.4055118110236221,10.3,10.3,63,Moderate rain,Rain,True,80-90F,Saturday
2025-08-20,1835.37,77,23.835974025974025,31.2,23.2,88.16,73.75999999999999,0.4,0.015748031496062995,0.4,18.9,51,Light drizzle,Drizzle,False,80-90F,Wednesday
2025-08-21,1294.8899999999999,58,22.32568965517241,31.1,23.8,87.98,74.84,0.4,0.015748031496062995,0.4,12.5,51,Light drizzle,Drizzle,False,80-90F,Thursday
2025-08-22,1505.08,53,28.397735849056602,26.5,23.9,79.7,75.02,25.3,0.9960629921259844,25.3,17.1,63,Moderate rain,Rain,True,70-80F,Friday
2025-08-23,1589.54,75,21.193866666666665,24.4,23.5,75.92,74.3,49.2,1.9370078740157481,49.2,21.0,63,Moderate rain,Rain,True,70-80F,Saturday
2025-08-27,1388.52,68,20.41941176470588,27.5,21.0,81.5,69.8,0.0,0.0,0.0,17.6,3,Overcast,Cloudy,False,80-90F,Wednesday
2025-08-28,1691.49,70,24.164142857142856,27.9,21.9,82.22,71.42,0.0,0.0,0.0,13.3,3,Overcast,Cloudy,False,80-90F,Thursday
2025-08-29,1711.88,60,28.531333333333336,28.8,22.4,83.84,72.32,0.1,0.003937007874015749,0.1,16.4,51,Light drizzle,Drizzle,False,80-90F,Friday
2025-08-30,1632.73,43,37.97046511627907,24.8,21.0,76.64,69.8,35.5,1.3976377952755907,35.5,19.9,65,Heavy rain,Rain,True,70-80F,Saturday
2025-09-03,1089.75,53,20.56132075471698,26.6,18.4,79.88,65.12,0.0,0.0,0.0,13.9,0,Clear sky,Clear/Sunny,False,70-80F,Wednesday
2025-09-04,1263.74,53,23.844150943396226,27.0,20.5,80.6,68.9,0.0,0.0,0.0,11.5,0,Clear sky,Clear/Sunny,False,80-90F,Thursday
2025-09-05,1287.47,46,27.988478260869567,28.1,21.0,82.58,69.8,0.0,0.0,0.0,12.7,1,Mainly clear,Clear/Sunny,False,80-90F,Friday
2025-09-06,1687.73,63,26.78936507936508,29.4,21.5,84.91999999999999,70.7,0.0,0.0,0.0,14.2,3,Overcast,Cloudy,False,80-90F,Saturday
2025-09-10,1318.1100000000001,54,24.409444444444446,26.2,18.9,79.16,66.02,0.4,0.015748031496062995,0.4,16.6,51,Light drizzle,Drizzle,False,70-80F,Wednesday
2025-09-11,1305.07,53,24.623962264150943,26.5,19.6,79.7,67.28,1.7,0.06692913385826772,1.7,15.3,51,Light drizzle,Drizzle,True,70-80F,Thursday
2025-09-12,1781.29,49,36.35285714285714,28.0,19.3,82.4,66.74000000000001,0.0,0.0,0.0,18.6,3,Overcast,Cloudy,False,80-90F,Friday
2025-09-13,2084.78,78,26.72794871794872,27.9,19.2,82.22,66.56,0.3,0.011811023622047244,0.3,20.3,51,Light drizzle,Drizzle,False,80-90F,Saturday
2025-09-16,54.26,1,54.26,28.5,18.5,83.3,65.3,0.0,0.0,0.0,14.7,0,Clear sky,Clear/Sunny,False,80-90F,Tuesday
2025-09-17,1864.31,54,34.52425925925926,29.4,19.4,84.91999999999999,66.92,1.1,0.043307086614173235,1.1,15.2,53,Moderate drizzle,Drizzle,True,80-90F,Wednesday
2025-09-18,690.42,50,13.808399999999999,29.4,21.1,84.91999999999999,69.98,0.1,0.003937007874015749,0.1,12.6,51,Light drizzle,Drizzle,False,80-90F,Thursday
2025-09-19,1450.23,54,26.85611111111111,29.0,20.9,84.2,69.62,2.6,0.10236220472440946,2.6,10.5,61,Slight rain,Rain,True,80-90F,Friday
2025-09-20,1613.42,67,24.08089552238806,29.2,20.8,84.56,69.44,0.3,0.011811023622047244,0.3,14.0,51,Light drizzle,Drizzle,False,80-90F,Saturday
2025-09-24,1935.16,57,33.950175438596496,28.9,22.8,84.02,73.04,0.6,0.023622047244094488,0.6,12.8,51,Light drizzle,Drizzle,False,80-90F,Wednesday
2025-09-25,1136.91,48,23.685625,30.5,25.2,86.9,77.36,0.4,0.015748031496062995,0.4,17.5,51,Light drizzle,Drizzle,False,80-90F,Thursday
2025-09-26,1206.09,57,21.159473684210525,29.5,21.5,85.1,70.7,5.5,0.21653543307086615,5.5,15.9,63,Moderate rain,Rain,True,80-90F,Friday
2025-09-27,1988.63,105,18.939333333333334,26.1,21.5,78.98,70.7,21.4,0.84251968503937,21.4,13.7,65,Heavy rain,Rain,True,70-80F,Saturday
2025-10-01,1650.91,60,27.51516666666667,26.5,19.9,79.7,67.82,0.0,0.0,0.0,20.7,3,Overcast,Cloudy,False,70-80F,Wednesday
2025-10-02,1554.67,55,28.266727272727273,25.2,16.0,77.36,60.8,0.0,0.0,0.0,25.7,3,Overcast,Cloudy,False,70-80F,Thursday
2025-10-03,1782.41,57,31.270350877192985,26.1,16.1,78.98,60.980000000000004,0.0,0.0,0.0,23.5,3,Overcast,Cloudy,False,70-80F,Friday
2025-10-04,2182.05,103,21.18495145631068,25.6,20.2,78.08,68.36,0.8,0.03149606299212599,0.8,27.2,51,Light drizzle,Drizzle,False,70-80F,Saturday
2025-10-08,1575.8,60,26.263333333333332,28.2,20.9,82.75999999999999,69.62,4.4,0.17322834645669294,4.4,10.7,61,Slight rain,Rain,True,80-90F,Wednesday
2025-10-09,883.85,36,24.55138888888889,22.5,16.6,72.5,61.88,14.7,0.5787401574803149,14.7,27.7,63,Moderate rain,Rain,True,70-80F,Thursday
2025-10-10,2078.25,66,31.488636363636363,19.2,16.0,66.56,60.8,48.2,1.8976377952755907,48.2,29.7,63,Moderate rain,Rain,True,60-70F,Friday
2025-10-11,1684.67,45,37.437111111111115,17.9,15.6,64.22,60.08,61.3,2.4133858267716537,61.3,40.5,63,Moderate rain,Rain,True,60-70F,Saturday
2025-10-15,2208.36,49,45.06857142857143,24.6,15.6,76.28,60.08,0.0,0.0,0.0,15.4,0,Clear sky,Clear/Sunny,False,70-80F,Wednesday
2025-10-16,1437.09,55,26.12890909090909,22.8,15.6,73.04,60.08,0.0,0.0,0.0,16.1,0,Clear sky,Clear/Sunny,False,70-80F,Thursday
2025-10-17,1306.32,58,22.522758620689654,21.0,13.2,69.8,55.76,0.0,0.0,0.0,12.8,3,Overcast,Cloudy,False,60-70F,Friday
2025-10-18,2143.61,110,19.487363636363636,22.9,13.6,73.22,56.48,0.0,0.0,0.0,13.6,3,Overcast,Cloudy,False,70-80F,Saturday
2025-10-22,1942.74,58,33.49551724137931,24.5,16.5,76.1,61.7,0.0,0.0,0.0,18.0,3,Overcast,Cloudy,False,70-80F,Wednesday
2025-10-23,1041.61,38,27.410789473684208,22.0,10.9,71.6,51.620000000000005,0.0,0.0,0.0,13.6,1,Mainly clear,Clear/Sunny,False,70-80F,Thursday
2025-10-24,2203.75,77,28.62012987012987,22.5,12.1,72.5,53.78,0.0,0.0,0.0,11.0,3,Overcast,Cloudy,False,70-80F,Friday
2025-10-25,2276.13,84,27.096785714285716,20.6,11.7,69.08,53.06,0.0,0.0,0.0,19.4,3,Overcast,Cloudy,False,60-70F,Saturday
2025-10-29,1155.74,37,31.236216216216217,19.4,12.1,66.92,53.78,0.2,0.007874015748031498,0.2,15.7,51,Light drizzle,Drizzle,False,60-70F,Wednesday
2025-10-30,1314.91,44,29.884318181818184,19.9,10.1,67.82,50.18,1.4,0.05511811023622047,1.4,25.1,53,Moderate drizzle,Drizzle,True,60-70F,Thursday
2025-10-31,2060.05,54,38.14907407407408,19.2,8.9,66.56,48.02,0.0,0.0,0.0,17.6,0,Clear sky,Clear/Sunny,False,60-70F,Friday
2025-11-01,1135.07,45,25.223777777777777,18.2,8.9,64.75999999999999,48.02,0.0,0.0,0.0,11.6,0,Clear sky,Clear/Sunny,False,60-70F,Saturday
2025-11-05,1813.13,48,37.77354166666667,21.5,7.5,70.7,45.5,0.0,0.0,0.0,17.6,3,Overcast,Cloudy,False,70-80F,Wednesday
2025-11-06,551.15,41,13.442682926829267,21.5,12.5,70.7,54.5,0.0,0.0,0.0,21.8,1,Mainly clear,Clear/Sunny,False,70-80F,Thursday
2025-11-07,1173.66,57,20.590526315789475,22.8,15.1,73.04,59.18,0.0,0.0,0.0,15.7,3,Overcast,Cloudy,False,70-80F,Friday
2025-11-08,2139.98,70,30.571142857142856,23.4,16.9,74.12,62.42,0.0,0.0,0.0,16.2,3,Overcast,Cloudy,False,70-80F,Saturday
2025-11-10,161.15,5,32.230000000000004,17.8,3.3,64.04,37.94,0.0,0.0,0.0,34.1,3,Overcast,Cloudy,False,60-70F,Monday
2025-11-12,1103.43,34,32.453823529411764,17.5,3.8,63.5,38.839999999999996,0.0,0.0,0.0,18.4,0,Clear sky,Clear/Sunny,False,60-70F,Wednesday
2025-11-13,845.96,43,19.673488372093026,20.4,8.8,68.72,47.84,0.0,0.0,0.0,13.9,3,Overcast,Cloudy,False,60-70F,Thursday
2025-11-14,1616.55,54,29.93611111111111,19.0,8.1,66.2,46.58,0.0,0.0,0.0,13.7,3,Overcast,Cloudy,False,60-70F,Friday
2025-11-15,1362.82,67,20.340597014925372,21.5,9.2,70.7,48.56,0.0,0.0,0.0,22.9,3,Overcast,Cloudy,False,70-80F,Saturday
2025-11-19,1198.9099999999999,45,26.64244444444444,25.4,12.6,77.72,54.68,0.0,0.0,0.0,14.5,3,Overcast,Cloudy,False,70-80F,Wednesday
2025-11-20,1153.17,34,33.91676470588236,20.8,15.6,69.44,60.08,0.0,0.0,0.0,16.3,3,Overcast,Cloudy,False,60-70F,Thursday
2025-11-21,1314.75,55,23.904545454545456,22.6,14.1,72.68,57.379999999999995,0.0,0.0,0.0,12.7,3,Overcast,Cloudy,False,70-80F,Friday
2025-11-22,1639.5,68,24.110294117647058,24.9,17.5,76.82,63.5,0.1,0.003937007874015749,0.1,19.3,51,Light drizzle,Drizzle,False,70-80F,Saturday
2025-11-26,4779.16,99,48.274343434343436,23.8,17.9,74.84,64.22,0.5,0.01968503937007874,0.5,21.6,51,Light drizzle,Drizzle,False,70-80F,Wednesday
2025-11-28,1251.67,43,29.108604651162793,11.2,4.0,52.16,39.2,0.0,0.0,0.0,12.8,3,Overcast,Cloudy,False,50-60F,Friday
2025-11-29,1287.74,41,31.40829268292683,11.0,2.7,51.8,36.86,0.0,0.0,0.0,21.8,3,Overcast,Cloudy,False,50-60F,Saturday
2025-12-03,5497.95,36,152.72083333333333,12.6,7.7,54.68,45.86,0.0,0.0,0.0,17.1,3,Overcast,Cloudy,False,50-60F,Wednesday
2025-12-04,1173.02,33,35.54606060606061,12.6,4.8,54.68,40.64,2.6,0.10236220472440946,2.6,8.3,55,Dense drizzle,Drizzle,True,50-60F,Thursday
2025-12-05,2229.1,52,42.86730769230769,13.6,9.7,56.48,49.46,13.3,0.5236220472440946,13.3,14.9,61,Slight rain,Rain,True,50-60F,Friday
2025-12-06,1580.6200000000001,57,27.730175438596493,10.9,8.8,51.620000000000005,47.84,9.5,0.37401574803149606,9.5,11.5,61,Slight rain,Rain,True,50-60F,Saturday
2025-12-10,1522.43,47,32.39212765957447,13.4,1.3,56.120000000000005,34.34,0.0,0.0,0.0,20.7,3,Overcast,Cloudy,False,50-60F,Wednesday
2025-12-11,1211.62,30,40.38733333333333,12.1,6.0,53.78,42.8,0.0,0.0,0.0,19.4,3,Overcast,Cloudy,False,50-60F,Thursday
2025-12-12,2330.71,59,39.5035593220339,14.0,3.7,57.2,38.660000000000004,0.0,0.0,0.0,15.0,3,Overcast,Cloudy,False,50-60F,Friday
2025-12-13,2785.19,63,44.20936507936508,17.8,7.6,64.04,45.68,0.0,0.0,0.0,17.6,0,Clear sky,Clear/Sunny,False,60-70F,Saturday
2025-12-16,520.77,10,52.077,10.9,-0.8,51.620000000000005,30.56,0.0,0.0,0.0,9.3,0,Clear sky,Clear/Sunny,False,50-60F,Tuesday
2025-12-17,1985.54,47,42.24553191489362,18.3,3.8,64.94,38.839999999999996,0.0,0.0,0.0,9.7,3,Overcast,Cloudy,False,60-70F,Wednesday
2025-12-18,1861.98,35,53.19942857142857,18.7,12.7,65.66,54.86,13.3,0.5236220472440946,13.3,18.2,63,Moderate rain,Rain,True,60-70F,Thursday
2025-12-19,4162.17,50,83.24340000000001,18.5,10.1,65.3,50.18,5.8,0.2283464566929134,5.8,31.7,63,Moderate rain,Rain,True,60-70F,Friday
2025-12-20,3056.34,73,41.86767123287672,14.6,5.4,58.28,41.72,0.0,0.0,0.0,14.1,0,Clear sky,Clear/Sunny,False,50-60F,Saturday
2025-12-24,2824.75,57,49.55701754385965,23.8,12.6,74.84,54.68,0.0,0.0,0.0,16.9,3,Overcast,Cloudy,False,70-80F,Wednesday
2025-12-26,174.24,8,21.78,18.5,12.8,65.3,55.04,0.0,0.0,0.0,12.3,3,Overcast,Cloudy,False,60-70F,Friday
2025-12-27,371.99,20,18.5995,24.0,14.8,75.2,58.64,0.0,0.0,0.0,14.5,1,Mainly clear,Clear/Sunny,False,70-80F,Saturday
2025-12-30,6.93,1,6.93,8.8,2.5,47.84,36.5,0.0,0.0,0.0,20.8,3,Overcast,Cloudy,False,40-50F,Tuesday
2025-12-31,738.78,30,24.625999999999998,10.8,0.4,51.44,32.72,0.0,0.0,0.0,13.9,0,Clear sky,Clear/Sunny,False,50-60F,Wednesday
2026-01-02,1217.27,34,35.802058823529414,17.5,6.7,63.5,44.06,0.0,0.0,0.0,17.2,3,Overcast,Cloudy,False,60-70F,Friday
2026-01-03,374.95,15,24.996666666666666,17.3,9.9,63.14,49.82,10.2,0.4015748031496063,10.2,16.0,63,Moderate rain,Rain,True,60-70F,Saturday
2026-01-14,625.22,26,24.04692307692308,12.6,7.4,54.68,45.32,4.6,0.1811023622047244,4.6,20.5,61,Slight rain,Rain,True,50-60F,Wednesday
2026-01-15,694.54,32,21.704375,9.6,2.8,49.28,37.04,0.0,0.0,0.0,24.6,3,Overcast,Cloudy,False,40-50F,Thursday
2026-01-16,1526.6,38,40.17368421052631,7.1,-2.4,44.78,27.68,0.0,0.0,0.0,17.5,0,Clear sky,Clear/Sunny,False,40-50F,Friday
2026-01-17,1279.56,58,22.061379310344826,16.5,5.8,61.7,42.44,0.0,0.0,0.0,18.9,3,Overcast,Cloudy,False,60-70F,Saturday
2026-01-21,905.88,32,28.30875,14.6,4.0,58.28,39.2,0.0,0.0,0.0,12.9,3,Overcast,Cloudy,False,50-60F,Wednesday
2026-01-22,751.7,44,17.08409090909091,19.9,8.2,67.82,46.76,0.0,0.0,0.0,9.5,3,Overcast,Cloudy,False,60-70F,Thursday
