Item,Revenue Class,Department,Default Price,Qty,Total Cost,% of Total,Discounts,Avg. Sale Price,Gross Sales,Net Sales,Net Sales w/o Mods,% of Total
Add Syrup,Coffee,Coffee,1,719,0,0,7.5,0.99,719,711.5,,1.35
All Roads Cotton Napkins (x2),Retail,Retail Merch,36,1,0,0,0,36,36,36,,0.07
Alpine Red California Red Wine,Wine,PM Wine,24,4,0,0,0,24,96,96,,0.18
Americano,Coffee,Coffee,4,102,0,0,5.6,3.95,408,402.4,,0.77
Animal Menagerie Stationary,Retail,Christmas,30,3,0,0,24,22,90,66,,0.13
Archivist card,Retail,Retail Merch,7,11,0,0,0,6.64,73,73,,0.14
Asparagus Chowder,Food,Retail Food,14,4,0,0,0,14,56,56,,0.11
Ayoh Dill Pickle Mayo Sando Sauce,Retail,Retail Food,12,1,0,0,0,12,12,12,,0.02
Ayoh Hot Giardinayo Sando Sauce,Retail,Retail Food,12,4,0,0,0,12,48,48,,0.09
Ayoh Tangy Dijonayo Sando Sauce,Retail,Retail Food,12,1,0,0,0,12,12,12,,0.02
Badenhorst Secateurs Chenin Blanc,Wine,PM Wine,28,2,0,0,0,28,56,56,,0.11
Baked Ziti W/ Meatballs,Food,Frozen,36,38,0,0,0,36,1368,1368,,2.6
Beef Broth,Retail,Frozen,20,1,0,0,0,20,20,20,,0.04
Beef Stroganoff,Food,Frozen,38,37,0,0,5.7,37.85,1406,1400.3,,2.66
Benton's Bacon,Food,Frozen,30,13,0,0,0,30,390,390,,0.74
Benton's Ham,Food,Frozen,18,3,0,0,0,18,54,54,,0.1
Birthday Truffle Bar Maeve,Retail,Retail Food,7.5,13,0,0,2.8,7.05,94.5,91.7,,0.17
Biscuits,Food,Frozen,16,5,0,0,0,16,80,80,,0.15
Bizzarro Strawberry Yuzu Spritz,Wine,PM Beer,16,2,0,0,0,16,32,32,,0.06
Blueberry and Sunflower Butter Granola,Retail,Retail Food,18,8,0,0,9.8,16.28,140,130.2,,0.25
Blueberry Maine Root Soda,Beverage,NA Beverage,3,5,0,0,0.3,2.94,15,14.7,,0.03
Bon bon Sour BLACKBERRY Fish Candy,Retail,Retail Food,8,21,0,0,0.8,7.96,168,167.2,,0.32
Bon Bon Sour PEACH Swedish Fish,Retail,Retail Food,8,6,0,0,0,8,48,48,,0.09
Bon bon SOUR Wild STRAWBERRY Fish Candy,Retail,Retail Food,8,25,0,0,1.6,7.94,200,198.4,,0.38
Bon Bon SWEET Wild STRAWBERRY Swedish Fish,Retail,Retail Food,8,34,0,0,0,8,272,272,,0.52
Bonjour - Isatopia Card,Retail,Retail Merch,7,1,0,0,0,7,7,7,,0.01
Borgo Savaian Aransat,Wine,PM Wine,28,2,0,0,0,28,56,56,,0.11
Breakfast Sandwich,Food,Soup & Sandwiches,10,94,0,0,6,9.94,940,934,,1.78
Buffalo Chicken Dip,Food,Dips,16,14,0,0,0,16,224,224,,0.43
Cake Slice Table Accents,Retail,Retail Merch,16,1,0,0,0,16,16,16,,0.03
Cantina Marilina Sikele,Wine,PM Wine,30,1,0,0,0,30,30,30,,0.06
Cappuccino,Coffee,Coffee,5.5,154,0,0,2.75,5.48,847,844.25,,1.61
Card Amy Zhang,Retail,Retail Merch,5,133,0,0,0,5,665,665,,1.27
Card Just Saying Hi,Retail,Retail Merch,6,1,0,0,0,6,6,6,,0.01
Carrot Surprise Tops,Retail,Retail Merch,15,6,0,0,0,15,90,90,,0.17
Cedre Heritage Malbec Cahors,Wine,PM Wine,30,2,0,0,0,30,60,60,,0.11
Chai Latte,Coffee,Coffee,6,38,0,0,1.8,5.95,228,226.2,,0.43
Charcoal Brioche,Food,Bread,15,6,0,0,0,15,90,90,,0.17
Cheerwine Soda,Beverage,NA Beverage,3,8,0,0,0,3,24,24,,0.05
Cherry Bomb Truffle Bar,Food,Retail Food,7.5,1,0,0,0,7.5,7.5,7.5,,0.01
Cherry Surprise Ball,Retail,Valentine,13,4,0,0,0,13,52,52,,0.1
Chicken Chili Small,Food,Soup & Sandwiches,14,23,0,0,0,14,322,322,,0.61
Chicken Curry,Food,Frozen,25,12,0,0,0,25,300,300,,0.57
Chick Surprise Ball,Retail,Retail Merch,15,6,0,0,0,15,90,90,,0.17
Chick Surprise Tops,Retail,Retail Merch,15,2,0,0,0,15,30,30,,0.06
Chocolate Chip Cookie,Food,Bakery,4,303,0,0,1.6,3.99,1212,1210.4,,2.3
Chucktown Acres - Bacon,Retail,Frozen,30,2,0,0,15,22.5,60,45,,0.09
Chucktown Acres - Bone-in Pork Chops,Retail,Frozen,30,1,0,0,0,30,30,30,,0.06
Chucktown Acres - Burger Patties,Retail,Retail Food,34,1,0,0,0,34,34,34,,0.06
Chucktown Acres - WINGS,Retail,Frozen,24,1,0,0,0,24,24,24,,0.05
Cinnamon Buns,Food,Frozen,18,4,0,0,0,18,72,72,,0.14
Cinnamon Rolls,Food,Frozen,25,6,0,0,15,22.5,150,135,,0.26
Cirelli Trebiano d'Abruzzo,Wine,PM Wine,38,1,0,0,22.8,15.2,38,15.2,,0.03
Cobb Chardonnay Sonoma,Wine,Cave De PM,66,1,0,0,0,66,66,66,,0.13
Coeurs Dark Choc Heart Bar,Retail,Valentine,13,5,0,0,0,13,65,65,,0.12
Coeurs Pink Heart Chocolate Bar,Retail,Valentine,13,5,0,0,0,13,65,65,,0.12
Cold Brew,Coffee,Coffee,6.5,98,0,0,18.85,6.31,637,618.15,,1.18
Comptoir Du Cacao,Retail,Retail Food,12,4,0,0,0,12,48,48,,0.09
Cookie Asst.,Food,Bakery,4,182,0,0,2,3.99,728,726,,1.38
Cookie Box Valentine,Food,Valentine,40,16,0,0,0,40,640,640,,1.22
Cookie Cake,Food,Valentine,15,27,0,0,0,15,405,405,,0.77
Cortado,Coffee,Coffee,4.5,66,0,0,4.5,4.43,297,292.5,,0.56
Dark Chocolate Pecan Bark - Zorro,Retail,Retail Food,16,1,0,0,0,16,16,16,,0.03
Date Better - ALMOND JAVA CRUNCH,Retail,Retail Food,8,4,0,0,0,8,32,32,,0.06
Date Better - HAZELNUT PRALINE,Retail,Retail Food,8,3,0,0,0,8,24,24,,0.05
Date Better - PEANUT BUTTER CRUNCH,Retail,Retail Food,8,7,0,0,0,8,56,56,,0.11
Date Better - ROYAL CINNAMON BAKLAVA,Retail,Retail Food,8,5,0,0,0,8,40,40,,0.08
Date Better - SNICKERDOODLE,Retail,Retail Food,8,6,0,0,0,8,48,48,,0.09
Deposit,Non-taxable,Buyouts,750,1,0,0,0,750,750,750,,1.43
Dilenquente-Weeping Juan,Wine,PM Wine,30,3,0,0,0,30,90,90,,0.17
Dirt Pile Truffle Bar,Food,Retail Food,7.5,2,0,0,0,7.5,15,15,,0.03
Disciples el Coco,Wine,Cave De PM,120,1,0,0,0,120,120,120,,0.23
Disciples Red Wine,Wine,Cave De PM,90,1,0,0,0,90,90,90,,0.17
Disciples Sauvignon Blanc,Wine,Cave De PM,80,1,0,0,0,80,80,80,,0.15
Dog Treats,Food,Bakery,5,16,0,0,0.5,4.97,80,79.5,,0.15
Dozen Eggs,Food,Retail Food,12,10,0,0,0,12,120,120,,0.23
Drink Ticket House of Gleason cocktail napkins,Retail,Retail Merch,52,2,0,0,0,52,104,104,,0.2
Dual Pricing,Non-Sales Revenue,Surcharges,0.04,1726,0,0,0,1.23,2126.75,2126.75,,4.05
EDISTO - BLUEBERRY HONEY,Retail,Retail Food,18,7,0,0,0,18,126,126,,0.24
EDISTO - HOT HONEY,Retail,Retail Food,18,3,0,0,0,18,54,54,,0.1
Eifel Tower Ornament,Retail,Christmas,20,1,0,0,8,12,20,12,,0.02
English muffin 4-pack,Food,Retail Food,12,1,0,0,0,12,12,12,,0.02
Espresso,Coffee,Coffee,3,35,0,0,0,3,105,105,,0.2
Extra Large Pommery Mustard,Retail,Retail Food,29,3,0,0,0,29,87,87,,0.17
Famille Gras Les Vieilles Vignes,Wine,PM Wine,30,3,0,0,0,30,90,90,,0.17
Fanny at Chez Panisse by Alice Waters cookbook,Retail,Retail Merch,22,2,0,0,0,22,44,44,,0.08
Fattoria di Sammontana Chianti,Wine,PM Wine,28,1,0,0,0,28,28,28,,0.05
Focaccia - Petit,Food,Bread,15,127,0,0,9,14.93,1905,1896,,3.61
