Period,Item,Revenue Class,Department,Default Price,Qty,Total Cost,% of Total,Discounts,Avg. Sale Price,Gross Sales,Net Sales,Net Sales w/o Mods,% of Total
2025 Full Year,8 oz Chicken Salad,Food,Soup & Sandwiches,15,9,0,0,22.5,12.5,135,112.5,,0.09
2025 Full Year,Achillée Alsace,Wine,PM Wine,30,4,0,0,0,30,120,120,,0.09
2025 Full Year,Add Syrup,Beverage,Coffee,1,54,0,0,0,1,54,54,,0.04
2025 Full Year,Add Syrup,Coffee,Coffee,1,1682,0,0,27.94,0.98,1682,1654.06,,1.26
2025 Full Year,Advent Calendar - Maeve,Retail,Christmas,48,6,0,0,38.4,41.6,288,249.6,,0.19
2025 Full Year,A-Frame Bobon box - Maeve,Retail,Christmas,25,4,0,0,0,25,100,100,,0.08
2025 Full Year,All Roads Cotton Napkins (x2),Retail,Retail Merch,36,7,0,0,0,37.43,262,262,,0.2
2025 Full Year,All Roads Table Cloth,Retail,Retail Merch,170,2,0,0,0,170,340,340,,0.26
2025 Full Year,Alpine Red California Red Wine,Wine,PM Wine,24,1,0,0,0,24,24,24,,0.02
2025 Full Year,Americano,Beverage,Coffee,4,10,0,0,0,4,40,40,,0.03
2025 Full Year,Americano,Coffee,Coffee,4,283,0,0,3.6,3.99,1132,1128.4,,0.86
2025 Full Year,Animal Crackers,Retail,Christmas,16,17,0,0,0,16,272,272,,0.21
2025 Full Year,Animal Menagerie Stationary,Retail,Christmas,30,2,0,0,0,30,60,60,,0.05
2025 Full Year,Aqua Panna,Beverage,NA Beverage,6,8,0,0,0,6,48,48,,0.04
2025 Full Year,A&W Rootbeer,Beverage,NA Beverage,3,7,0,0,0,3,21,21,,0.02
2025 Full Year,Ayoh Dill Pickle Mayo Sando Sauce,Retail,Retail Food,12,27,0,0,6,11.78,324,318,,0.24
2025 Full Year,Ayoh Hot Giardinayo Sando Sauce,Retail,Retail Food,12,14,0,0,0,12,168,168,,0.13
2025 Full Year,Ayoh Tangy Dijonayo Sando Sauce,Retail,Retail Food,12,16,0,0,7.2,11.55,192,184.8,,0.14
2025 Full Year,Bah Humbug,Retail,Christmas,22,5,0,0,0,22,110,110,,0.08
2025 Full Year,Baked Ziti W/ Meatballs,Food,Frozen,36,90,0,0,0,36.33,3270,3270,,2.5
2025 Full Year,Banana Bundt Cake,Food,Bakery,6,1,0,0,0,6,6,6,,0
2025 Full Year,Bang Matches,Retail,Christmas,21,10,0,0,21,18.9,210,189,,0.14
2025 Full Year,Barolo di Verduno - Chateau Bellegrave,Wine,Cave De PM,104,2,0,0,0,104,208,208,,0.16
2025 Full Year,Beast,Food,Body by Brad,10,8,0,0,0,10,80,80,,0.06
2025 Full Year,Beatrix Bakes Another Slice,Retail,Retail Merch,35,1,0,0,0,35,35,35,,0.03
2025 Full Year,Beef Broth,Retail,Frozen,20,2,0,0,0,22,44,44,,0.03
2025 Full Year,Beef Stroganoff,Food,Frozen,38,18,0,0,0,38,684,684,,0.52
2025 Full Year,Belly Warmer - Methodical,Retail,Retail Food,18,1,0,0,0,18,18,18,,0.01
2025 Full Year,Benton's Bacon,Food,Frozen,30,25,0,0,0,30,750,750,,0.57
2025 Full Year,Benton's Ham,Food,Frozen,18,3,0,0,0,18,54,54,,0.04
2025 Full Year,Benton's Summer Stack,Food,Soup & Sandwiches,13,29,0,0,0,13,377,377,,0.29
2025 Full Year,Birthday Cake Card,Retail,Retail Merch,4,10,0,0,0.4,3.96,40,39.6,,0.03
2025 Full Year,Birthday Truffle Bar Maeve,Retail,Retail Food,7.5,33,0,0,0.7,6.98,231,230.3,,0.18
2025 Full Year,Birthday w/ statue,Retail,Retail Merch,6,1,0,0,0,6,6,6,,0
2025 Full Year,Biscuits,Food,Frozen,16,4,0,0,0,16,64,64,,0.05
2025 Full Year,Bisous - Isatopia Card,Retail,Retail Merch,7,5,0,0,0,7,35,35,,0.03
2025 Full Year,Bizzaro Spritz Can,Beer,Merci Beer,12,2,0,0,0,12,24,24,,0.02
2025 Full Year,Bizzarro Strawberry Yuzu Spritz,Wine,PM Beer,16,6,0,0,0,16,96,96,,0.07
2025 Full Year,Bjorn Qorn CLASSIC,Retail,Retail Food,8,17,0,0,0,8,136,136,,0.1
2025 Full Year,Bjorn Qorn TRUFFLE,Retail,Retail Food,8,11,0,0,4,7.64,88,84,,0.06
2025 Full Year,Bloody Mary Crackers,Retail,Christmas,16,16,0,0,20,14.75,256,236,,0.18
2025 Full Year,Blueberry Maine Root Soda,Beverage,NA Beverage,3,1,0,0,0,3,3,3,,0
2025 Full Year,Blue Boy - Methodical,Retail,Retail Food,20,1,0,0,0,20,20,20,,0.02
2025 Full Year,"Blue Cotton Cocktail Napkins 50 ct, My Drap",Retail,Retail Merch,26,1,0,0,0,26,26,26,,0.02
2025 Full Year,Boal de Arousa Albariño,Wine,PM Wine,28,6,0,0,2.8,27.53,168,165.2,,0.13
2025 Full Year,Bon bon Sour BLACKBERRY Fish Candy,Retail,Retail Food,8,48,0,0,4.8,7.9,384,379.2,,0.29
2025 Full Year,Bon Bon Sour PEACH Swedish Fish,Retail,Retail Food,8,55,0,0,9.6,7.83,440,430.4,,0.33
2025 Full Year,Bon bon SOUR Wild STRAWBERRY Fish Candy,Retail,Retail Food,8,33,0,0,0.8,7.98,264,263.2,,0.2
2025 Full Year,Bon Bon SWEET Wild STRAWBERRY Swedish Fish,Retail,Retail Food,8,69,0,0,9.2,7.87,552,542.8,,0.41
2025 Full Year,Bravo - Isatopia Card,Retail,Retail Merch,7,5,0,0,4.2,6.16,35,30.8,,0.02
2025 Full Year,Breakfast Sandwich,Food,Soup & Sandwiches,10,228,0,0,15,9.93,2280,2265,,1.73
2025 Full Year,Brownie,Retail,Bakery,6,13,0,0,0,6,78,78,,0.06
2025 Full Year,Buffalo Chicken Dip,Food,Dips,16,3,0,0,0,15,45,45,,0.03
2025 Full Year,Butter - Maison Bordier Le Beurre Bordier,Retail,Retail Food,35,1,0,0,0,35,35,35,,0.03
2025 Full Year,Butternut Squash Soup LARGE,Food,Soup & Sandwiches,22,21,0,0,13.2,21.37,462,448.8,,0.34
2025 Full Year,Butternut Squash Soup SMALL,Food,Soup & Sandwiches,12,29,0,0,1.2,11.96,348,346.8,,0.26
2025 Full Year,Calcite Pouilly Fume,Wine,PM Wine,36,2,0,0,0,36,72,72,,0.05
2025 Full Year,Calx Primitivo,Retail,Retail Food,18,1,0,0,0,18,18,18,,0.01
2025 Full Year,Cantina Marilina Sikele,Wine,PM Wine,30,5,0,0,15,27,150,135,,0.1
2025 Full Year,Cappuccino,Beverage,Coffee,5.5,9,0,0,0,5.5,49.5,49.5,,0.04
2025 Full Year,Cappuccino,Coffee,Coffee,5.5,308,0,0,8.25,5.47,1694,1685.75,,1.29
2025 Full Year,Casserole,Food,Frozen,32,2,0,0,0,32,64,64,,0.05
2025 Full Year,Catch & Release Middle Child Orange Riesling,Wine,PM Wine,34,3,0,0,0,34,102,102,,0.08
2025 Full Year,Cedre Heritage Malbec Cahors,Wine,PM Wine,30,2,0,0,0,30,60,60,,0.05
2025 Full Year,Chai Latte,Beverage,Coffee,6,8,0,0,0,6,48,48,,0.04
2025 Full Year,Chai Latte,Coffee,Coffee,6,145,0,0,23.4,5.84,870,846.6,,0.65
2025 Full Year,Cheerwine Soda,Beverage,NA Beverage,3,19,0,0,0,3,57,57,,0.04
2025 Full Year,Cherries Jubilee Boulevard Brewing,Beer,Christmas,16,1,0,0,0,16,16,16,,0.01
2025 Full Year,Chicken,Food,Entrees,40,1,0,0,0,34,34,34,,0.03
2025 Full Year,Chicken and Broccoli,Food,Frozen,36,24,0,0,18,35.25,864,846,,0.65
2025 Full Year,Chicken Picata,Food,Frozen,32,21,0,0,0,32,672,672,,0.51
2025 Full Year,Chicken Soup,Food,Frozen,22,7,0,0,0,22,154,154,,0.12
2025 Full Year,Chicken w Ratatouille,Food,Frozen,36,25,0,0,0,36,900,900,,0.69
2025 Full Year,Chilled Green Corn Soup,Food,Frozen,22,5,0,0,0,22,110,110,,0.08
2025 Full Year,Chocolate Chip Cookie,Food,Bakery,4,791,0,0,34,3.96,3164,3130,,2.39
2025 Full Year,Chocolate Mousse Trifles,Food,Bakery,6,22,0,0,0.6,5.97,132,131.4,,0.1
2025 Full Year,Chocolate Sardine,Retail,Retail Merch,18,1,0,0,0,18,18,18,,0.01
2025 Full Year,Chocolate Sardines,Retail,Retail Food,18,5,0,0,0,20.8,104,104,,0.08
2025 Full Year,Christmas Ale,Beer,PM Beer,16,1,0,0,0,16,16,16,,0.01
2025 Full Year,Christmas Shop Matches,Retail,Christmas,17,1,0,0,0,17,17,17,,0.01
2025 Full Year,Chucktown Acres - Bacon,Retail,Frozen,30,3,0,0,0,30,90,90,,0.07
2025 Full Year,Chucktown Acres - Bone-in Pork Chops,Retail,Frozen,30,1,0,0,0,28,28,28,,0.02
2025 Full Year,Chucktown Acres - Burger Patties,Retail,Retail Food,34,3,0,0,0,35,105,105,,0.08
2025 Full Year,Chucktown Acres - Chicken Breast,Retail,Frozen,30,2,0,0,0,30,60,60,,0.05
2025 Full Year,Chucktown Acres - Ground Beef,Retail,Frozen,20,2,0,0,0,20,40,40,,0.03
2025 Full Year,Chucktown Acres - NY Strip Steak,Food,Frozen,38,2,0,0,0,38,76,76,,0.06
2025 Full Year,Cider,Beverage,Retail Food,8,8,0,0,12,6.5,64,52,,0.04
2025 Full Year,Cinnamon Hot cocoa Tin,Retail,Christmas,15,4,0,0,0,15,60,60,,0.05
2025 Full Year,Cinnamon Rolls,Food,Frozen,25,56,0,0,2.5,24.96,1400,1397.5,,1.07
2025 Full Year,CLOCK COCKTAIL TIME - cocktail napkins - gleason,Retail,Retail Merch,48,12,0,0,0,48,576,576,,0.44
2025 Full Year,Cluizel Chocolate Sardines,Food,Retail Food,18,1,0,0,0,18,18,18,,0.01
2025 Full Year,Cobb Chardonnay Sonoma,Wine,Cave De PM,66,1,0,0,0,66,66,66,,0.05
2025 Full Year,Coffee Cake,Food,Bakery,6,4,0,0,1.2,5.7,24,22.8,,0.02
2025 Full Year,Cold Brew,Coffee,Coffee,6.5,172,0,0,8.45,6.45,1118,1109.55,,0.85
2025 Full Year,Collazzi Chianti Classico 2024,Wine,PM Wine,34,3,0,0,0,32,96,96,,0.07
2025 Full Year,Colu Cooks Easy Fancy Food Colu Henry,Retail,Retail Merch,35,4,0,0,26.25,28.44,140,113.75,,0.09
2025 Full Year,Comptoir Caramelized Almonds,Retail,Retail Food,11,4,0,0,0,11,44,44,,0.03
2025 Full Year,Comptoir Du Cacao,Retail,Retail Food,12,8,0,0,0,12,96,96,,0.07
2025 Full Year,Comptoir Du Cacao Fluer De Sel,Retail,Retail Food,11,1,0,0,0,11,11,11,,0.01
2025 Full Year,Cookie Asst.,Food,Bakery,4,340,0,0,11.2,3.97,1360,1348.8,,1.03
2025 Full Year,Cookies & Crumbs,Retail,Retail Merch,23.99,1,0,0,18,5.99,23.99,5.99,,0
2025 Full Year,Corn Chowder,Food,Frozen,22,11,0,0,0,22,242,242,,0.18
2025 Full Year,Cortado,Beverage,Coffee,4.5,6,0,0,0,4.5,27,27,,0.02
2025 Full Year,Cortado,Coffee,Coffee,4.5,184,0,0,2.25,4.49,828,825.75,,0.63
2025 Full Year,Cowboy Christmas - Ranger Station,Retail,Christmas,40,15,0,0,20,38.67,600,580,,0.44
2025 Full Year,Creamy Pony Peanut Butter,Retail,Retail Food,8,8,0,0,0,8,64,64,,0.05
2025 Full Year,Croissant - Isatopia Card,Retail,Retail Merch,7,5,0,0,0,7,35,35,,0.03
